"Date","Price","Open","High","Low","Vol.","Change %"
"10/15/2014","38.10","37.80","39.65","37.35","1.68M","2.42%"
"10/14/2014","37.20","37.50","38.69","36.85","1.47M","-0.80%"
"10/13/2014","37.50","37.20","39.10","36.75","1.12M","3.16%"
"10/10/2014","36.35","37.15","38.20","36.15","1.17M","-2.68%"
"10/09/2014","37.35","37.85","37.85","36.40","1.58M","-1.58%"
"10/08/2014","37.95","34.50","38.45","34.05","2.41M","11.62%"
"10/07/2014","34.00","35.20","35.40","33.83","805.57K","-3.27%"
"10/06/2014","35.15","34.90","35.30","34.40","796.01K","1.74%"
"10/03/2014","34.55","35.05","35.15","34.40","1.37M","-2.40%"
"10/02/2014","35.40","34.50","35.50","34.25","1.07M","3.66%"
"10/01/2014","34.15","33.85","34.90","33.70","953.45K","1.34%"
"09/30/2014","33.70","33.95","34.50","33.35","847.20K","-1.46%"
"09/29/2014","34.20","34.70","34.75","34.10","385.71K","-1.01%"
"09/26/2014","34.55","35.00","35.05","34.20","524.48K","-1.71%"
"09/25/2014","35.15","34.65","35.30","34.15","1.06M","0.00%"
"09/24/2014","35.15","34.95","35.80","34.70","970.41K","-0.85%"
"09/23/2014","35.45","34.80","35.80","34.48","972.58K","4.26%"
"09/22/2014","34.00","34.25","34.40","33.30","1.28M","-2.02%"
"09/19/2014","34.70","35.95","36.20","34.40","1.43M","-4.41%"
"09/18/2014","36.30","37.40","37.55","35.95","1.06M","-3.20%"
"09/17/2014","37.50","38.45","38.80","37.45","790.65K","-2.72%"
"09/16/2014","38.55","37.80","38.90","37.10","785.48K","2.12%"
"09/15/2014","37.75","38.35","38.40","37.30","694.69K","-1.18%"
"09/12/2014","38.20","37.40","38.60","37.10","1.06M","0.79%"
"09/11/2014","37.90","36.85","37.95","36.55","831.02K","2.02%"
"09/10/2014","37.15","37.00","37.85","36.65","767.05K","-1.07%"
"09/09/2014","37.55","36.95","37.60","36.35","762.76K","1.49%"
"09/08/2014","37.00","38.10","38.10","36.75","750.16K","-3.39%"
"09/05/2014","38.30","38.05","38.45","37.60","781.69K","1.59%"
"09/04/2014","37.70","39.85","39.90","37.50","688.15K","-4.68%"
"09/03/2014","39.55","39.45","39.88","39.35","552.68K","0.13%"
"09/02/2014","39.50","40.50","40.55","39.23","1.03M","-4.59%"
"08/29/2014","41.40","40.70","41.65","40.65","831.51K","1.22%"
"08/28/2014","40.90","41.35","41.45","40.58","431.84K","0.37%"
"08/27/2014","40.75","41.15","41.15","40.37","472.95K","-0.61%"
"08/26/2014","41.00","39.85","41.05","39.65","654.23K","4.59%"
"08/25/2014","39.20","39.75","39.85","39.05","522.75K","-2.00%"
"08/22/2014","40.00","39.70","40.20","39.45","428.93K","1.01%"
"08/21/2014","39.60","40.25","40.70","39.23","1.15M","-3.06%"
"08/20/2014","40.85","41.10","41.55","40.50","420.48K","-0.49%"
"08/19/2014","41.05","41.17","41.25","40.50","621.06K","-0.61%"
"08/18/2014","41.30","41.10","41.55","40.90","430.57K","0.00%"
"08/15/2014","41.30","41.20","41.80","40.65","769.41K","-1.31%"
"08/14/2014","41.85","42.50","43.00","41.50","802.88K","-1.65%"
"08/13/2014","42.55","42.50","42.83","41.95","822.11K","0.35%"
"08/12/2014","42.40","40.85","42.45","40.75","1.10M","4.69%"
"08/11/2014","40.50","40.80","41.10","40.10","657.94K","-1.22%"
"08/08/2014","41.00","41.05","42.05","40.70","699.40K","-0.24%"
"08/07/2014","41.10","40.65","41.40","40.25","785.99K","0.86%"
"08/06/2014","40.75","40.05","41.00","40.05","881.08K","3.43%"
"08/05/2014","39.40","38.40","39.50","38.20","723.11K","3.41%"
"08/04/2014","38.10","39.60","39.70","37.80","674.93K","-3.67%"
"08/01/2014","39.55","38.45","40.00","38.40","1.22M","6.60%"
"07/31/2014","37.10","37.35","37.90","36.92","697.41K","-1.85%"
"07/30/2014","37.80","38.00","38.05","37.15","532.85K","-1.05%"
"07/29/2014","38.20","38.70","38.85","37.95","342.35K","-0.65%"
"07/28/2014","38.45","38.80","38.90","38.10","612.78K","-1.28%"
"07/25/2014","38.95","37.15","39.00","37.05","812.72K","4.56%"
"07/24/2014","37.25","37.20","37.50","36.80","747.51K","-0.93%"
"07/23/2014","37.60","37.35","37.70","37.10","775.75K","1.08%"
"07/22/2014","37.20","37.60","37.85","37.07","455.61K","-1.33%"
"07/21/2014","37.70","38.00","38.20","37.20","564.80K","0.00%"
"07/18/2014","37.70","37.15","37.85","37.00","634.93K","-0.13%"
"07/17/2014","37.75","36.80","38.60","36.55","1.15M","3.85%"
"07/16/2014","36.35","36.05","36.80","35.85","739.55K","1.25%"
"07/15/2014","35.90","37.35","37.60","35.65","974.54K","-3.88%"
"07/14/2014","37.35","37.35","37.95","36.85","828.40K","-3.24%"
"07/11/2014","38.60","38.20","38.75","37.70","779.63K","1.71%"
"07/10/2014","37.95","40.10","40.50","37.70","1.39M","-4.05%"
"07/09/2014","39.55","37.80","39.80","37.65","1.32M","5.19%"
"07/08/2014","37.60","37.15","37.65","36.55","778.59K","2.17%"
"07/07/2014","36.80","37.45","37.65","36.75","770.21K","-2.26%"
"07/03/2014","37.65","37.45","37.70","37.20","482.31K","-1.18%"
"07/02/2014","38.10","37.50","38.35","37.45","554.00K","2.01%"
"07/01/2014","37.35","38.35","38.90","37.30","644.40K","-2.23%"
"06/30/2014","38.20","37.40","38.45","36.80","984.14K","1.06%"
"06/27/2014","37.80","36.05","38.15","36.00","1.70M","6.03%"
"06/26/2014","35.65","34.95","35.75","34.90","566.86K","1.28%"
"06/25/2014","35.20","34.70","35.90","34.55","784.14K","1.44%"
"06/24/2014","34.70","36.45","36.55","34.65","915.72K","-4.14%"
"06/23/2014","36.20","35.45","36.40","35.15","605.22K","2.12%"
"06/20/2014","35.45","35.35","35.90","35.05","1.26M","-0.42%"
"06/19/2014","35.60","33.30","35.65","33.20","2.49M","8.87%"
"06/18/2014","32.70","31.70","32.75","31.55","618.06K","2.99%"
"06/17/2014","31.75","31.40","32.10","31.30","459.76K","-0.16%"
